#	run	go		gi		gc		sh	fr			fru			a			au			b			bu			c			cu			th			thu			el			elu			a_			au_			c_			cu_
	12	35.0	10.0	15.0	3	0.220367	0.010165	1.628018	0.123222	0.590018	0.065491	1.174512	0.034243	6.693376	1.236817	29.436832	8.288933	1.660446	0.145850	1.323771	0.055097
	13	35.0	10.0	15.0	4	0.201134	0.003354	1.765973	0.088161	0.535693	0.040825	1.173958	0.035217	6.861230	0.918785	25.593180	5.803003	1.800227	0.109660	1.351641	0.056577
	14	35.0	10.0	15.0	5	0.137655	0.018462	1.744511	0.055492	0.535586	0.019787	1.189556	0.024760	6.387738	0.883167	24.562873	4.232311	1.781099	0.075446	1.351058	0.049695
	15	35.0	10.0	15.0	6	0.123140	0.015842	1.726780	0.044709	0.542477	0.020168	1.189131	0.039747	6.163281	0.912654	27.699943	6.122116	1.782346	0.074407	1.342754	0.053346
	16	35.0	10.0	15.0	7	0.105517	0.018879	1.665823	0.118265	0.574749	0.054745	1.173069	0.041104	6.241743	0.989498	29.456371	6.492401	1.718661	0.142677	1.319056	0.059850
	17	35.0	10.0	15.0	8	0.083451	0.042966	1.551754	0.113101	0.627515	0.052354	1.159612	0.043912	6.511272	1.429429	32.517191	6.104044	1.615443	0.136505	1.290437	0.051251
	18	35.0	10.0	30.0	1	0.486672	0.686261	1.211124	0.061109	0.833153	0.054503	1.146862	0.029893	12.986251	11.438632	58.152195	7.108766	1.228850	0.089381	1.265408	0.050129
	19	35.0	10.0	30.0	2	0.220667	0.015378	1.335037	0.082638	0.751166	0.056739	1.140014	0.029118	7.509642	4.086883	43.142339	7.420704	1.346756	0.095731	1.253793	0.048000
	20	35.0	10.0	30.0	3	0.197690	0.008231	1.535358	0.079308	0.639620	0.045884	1.149125	0.028445	6.035159	1.500538	29.525858	5.859629	1.534717	0.086860	1.262913	0.044329
	21	35.0	10.0	30.0	4	0.181391	0.004992	1.663897	0.107526	0.581252	0.054697	1.159486	0.031149	6.087370	0.962691	24.725989	6.348327	1.658336	0.103908	1.291061	0.047761
	22	35.0	10.0	30.0	5	0.135051	0.028895	1.607706	0.073423	0.603951	0.038341	1.156452	0.038173	5.605075	0.952873	27.267815	4.506727	1.620235	0.101052	1.276850	0.051656
	23	35.0	10.0	30.0	6	0.117234	0.022845	1.607492	0.091019	0.611028	0.047247	1.142206	0.045907	6.082225	1.017812	27.288077	4.476400	1.622273	0.115438	1.271610	0.057384
	24	35.0	10.0	30.0	7	0.100975	0.020654	1.627752	0.121552	0.603582	0.061768	1.142559	0.045749	6.212221	1.050566	26.060541	4.513697	1.661855	0.154702	1.276084	0.060499
	25	35.0	10.0	30.0	8	0.084028	0.026722	1.517528	0.139838	0.668946	0.068633	1.110338	0.041386	5.658520	1.254125	27.957620	4.627208	1.519678	0.162318	1.231147	0.046950
	26	15.0	5.0		20.0	1	0.486797	1.080034	1.149019	0.032098	0.925530	0.041685	1.072052	0.026393	28.572159	27.053347	33.994985	9.751314	1.116830	0.085004	1.154051	0.058253
	27	15.0	5.0		20.0	2	0.548428	0.318060	1.140392	0.061258	0.922432	0.063175	1.082952	0.027018	32.676447	26.629580	33.331836	8.071987	1.113964	0.103642	1.165323	0.051466
	28	15.0	5.0		20.0	3	0.230512	0.207980	1.249565	0.097523	0.838473	0.079317	1.081480	0.023195	10.234658	5.314992	23.072441	3.498105	1.255599	0.108492	1.180379	0.038594
	29	15.0	5.0		20.0	4	0.184825	0.002941	1.463708	0.106848	0.700996	0.070237	1.098418	0.031857	8.043439	0.871978	19.023455	2.881578	1.455870	0.115881	1.237447	0.051290
	30	15.0	5.0		20.0	5	0.177932	0.002970	1.556977	0.118298	0.655487	0.065790	1.098730	0.034556	8.030045	0.921774	17.415040	2.887633	1.543556	0.120081	1.268429	0.062173
